Pups: 95, Wolves: 73
Total configs: 41984
Unique configs: 14204
Step 0: (BOAT) left=[95, 73], right=[0, 0]
Step 1:        left=[93, 73], right=[2, 0]  (BOAT)
Step 2: (BOAT) left=[94, 73], right=[1, 0]
Step 3:        left=[92, 73], right=[3, 0]  (BOAT)
Step 4: (BOAT) left=[93, 73], right=[2, 0]
Step 5:        left=[91, 73], right=[4, 0]  (BOAT)
Step 6: (BOAT) left=[92, 73], right=[3, 0]
Step 7:        left=[90, 73], right=[5, 0]  (BOAT)
Step 8: (BOAT) left=[91, 73], right=[4, 0]
Step 9:        left=[89, 73], right=[6, 0]  (BOAT)
Step 10: (BOAT) left=[90, 73], right=[5, 0]
Step 11:        left=[88, 73], right=[7, 0]  (BOAT)
Step 12: (BOAT) left=[89, 73], right=[6, 0]
Step 13:        left=[87, 73], right=[8, 0]  (BOAT)
Step 14: (BOAT) left=[88, 73], right=[7, 0]
Step 15:        left=[86, 73], right=[9, 0]  (BOAT)
Step 16: (BOAT) left=[87, 73], right=[8, 0]
Step 17:        left=[85, 73], right=[10, 0]  (BOAT)
Step 18: (BOAT) left=[86, 73], right=[9, 0]
Step 19:        left=[84, 73], right=[11, 0]  (BOAT)
Step 20: (BOAT) left=[85, 73], right=[10, 0]
Step 21:        left=[83, 73], right=[12, 0]  (BOAT)
Step 22: (BOAT) left=[84, 73], right=[11, 0]
Step 23:        left=[82, 73], right=[13, 0]  (BOAT)
Step 24: (BOAT) left=[83, 73], right=[12, 0]
Step 25:        left=[81, 73], right=[14, 0]  (BOAT)
Step 26: (BOAT) left=[82, 73], right=[13, 0]
Step 27:        left=[80, 73], right=[15, 0]  (BOAT)
Step 28: (BOAT) left=[81, 73], right=[14, 0]
Step 29:        left=[79, 73], right=[16, 0]  (BOAT)
Step 30: (BOAT) left=[80, 73], right=[15, 0]
Step 31:        left=[78, 73], right=[17, 0]  (BOAT)
Step 32: (BOAT) left=[79, 73], right=[16, 0]
Step 33:        left=[77, 73], right=[18, 0]  (BOAT)
Step 34: (BOAT) left=[78, 73], right=[17, 0]
Step 35:        left=[76, 73], right=[19, 0]  (BOAT)
Step 36: (BOAT) left=[77, 73], right=[18, 0]
Step 37:        left=[75, 73], right=[20, 0]  (BOAT)
Step 38: (BOAT) left=[76, 73], right=[19, 0]
Step 39:        left=[74, 73], right=[21, 0]  (BOAT)
Step 40: (BOAT) left=[75, 73], right=[20, 0]
Step 41:        left=[73, 73], right=[22, 0]  (BOAT)
Step 42: (BOAT) left=[74, 73], right=[21, 0]
Step 43:        left=[72, 73], right=[23, 0]  (BOAT)
Step 44: (BOAT) left=[73, 73], right=[22, 0]
Step 45:        left=[71, 73], right=[24, 0]  (BOAT)
Step 46: (BOAT) left=[72, 73], right=[23, 0]
Step 47:        left=[70, 73], right=[25, 0]  (BOAT)
Step 48: (BOAT) left=[71, 73], right=[24, 0]
Step 49:        left=[69, 73], right=[26, 0]  (BOAT)
Step 50: (BOAT) left=[70, 73], right=[25, 0]
Step 51:        left=[68, 73], right=[27, 0]  (BOAT)
Step 52: (BOAT) left=[69, 73], right=[26, 0]
Step 53:        left=[67, 73], right=[28, 0]  (BOAT)
Step 54: (BOAT) left=[68, 73], right=[27, 0]
Step 55:        left=[66, 73], right=[29, 0]  (BOAT)
Step 56: (BOAT) left=[67, 73], right=[28, 0]
Step 57:        left=[65, 73], right=[30, 0]  (BOAT)
